Trait	Definition
Hb	Relative abundance of high-branching (N > 4) glycans within all glycans
Lb	Relative abundance of low-branching (N <= 4) glycans within all glycans
F	Fucosylation within all glycans
HbF	Fucosylation within high-branching glycans
LbF	Fucosylation within low-branching glycans
HbSF	Fucosylation within sialylated high-branching glycans
LbSF	Fucosylation within sialylated low-branching glycans
HbS0F	Fucosylation within non-sialylated high-branching glycans
LbS0F	Fucosylation within non-sialylated low-branching glycans
HbEF	Fucosylation within high-branching glycans with a2,6-linked sialic acids
LbEF	Fucosylation within low-branching glycans with a2,6-linked sialic acids
HbE0F	Fucosylation within high-branching glycans without a2,6-linked sialic acids
LbE0F	Fucosylation within low-branching glycans without a2,6-linked sialic acids
HbLF	Fucosylation within high-branching glycans with a2,3-linked sialic acids
LbLF	Fucosylation within low-branching glycans with a2,3-linked sialic acids
HbL0F	Fucosylation within high-branching glycans without a2,3-linked sialic acids
LbL0F	Fucosylation within low-branching glycans without a2,3-linked sialic acids
TM	Relative abundance of high mannose type glycans within total spectrum
THy	Relative abundance of hybrid type glycans within total spectrum
MHy	The ratio of high-mannose to hybrid glycans
MM	Average number of mannoses on high mannose type glycans
CA1	Relative abundance of monoantennary glycans within complex type glycans
CA2	Relative abundance of diantennary glycans within complex type glycans
CA3	Relative abundance of triantennary glycans within complex type glycans
CA4	Relative abundance of tetra-antennary glycans within complex type glycans
CFc	Core fucosylation within complex type glycans
A1Fc	Core fucosylation within monoantennary glycans
A2Fc	Core fucosylation within diantennary glycans
A3Fc	Core fucosylation within triantennary glycans
A4Fc	Core fucosylation within tetra-antennary glycans
A1SFc	Core fucosylation within sialylated monoantennary glycans
A2SFc	Core fucosylation within sialylated diantennary glycans
A3SFc	Core fucosylation within sialylated triantennary glycans
A4SFc	Core fucosylation within sialylated tetra-antennary glycans
A1S0Fc	Core fucosylation within non-sialylated monoantennary glycans
A2S0Fc	Core fucosylation within non-sialylated diantennary glycans
A3S0Fc	Core fucosylation within non-sialylated triantennary glycans
A4S0Fc	Core fucosylation within non-sialylated tetra-antennary glycans
A1EFc	Core fucosylation within monoantennary glycans with α2,6-linked sialic acid
A2EFc	Core fucosylation within diantennary glycans with α2,6-linked sialic acid
A3EFc	Core fucosylation within triantennary glycans with α2,6-linked sialic acid
A4EFc	Core fucosylation within tetra-antennary glycans with α2,6-linked sialic acid
